,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20525,20,20486,39,173,1,20020,332,197738.33333,10379.88,167.96,87.49,31,837,4
02,02 - Saguenay-Lac-Saint-Jean,30132,23,29771,361,439,1,29276,417,278600,10815.51,149.68,157.57,40,1600,4
03,03 - Capitale-Nationale,87907,38,87546,361,1546,1,85366,995,761103.66667,11549.94,129.80,203.13,101,4226,11
04,04 - Mauricie et Centre-du-Québec,58583,26,58343,240,1001,0,56897,685,527666.66667,11102.27,129.18,189.70,85,3153,3
05,05 - Estrie,49351,25,48827,524,620,0,47940,791,502406,9822.93,155.72,123.41,68,2728,-1
06,06 - Montréal,307438,181,304077,3361,5472,0,299473,2493,2061667.3333,14912.11,120.35,265.42,328,16019,13
07,07 - Outaouais,39563,17,39118,445,314,0,38923,326,405378.66667,9759.52,79.56,77.46,36,1823,6
08,08 - Abitibi-Témiscamingue,10828,11,10787,41,110,0,10609,109,147876.33333,7322.33,73.68,74.39,22,622,3
09,09 - Côte-Nord,8460,17,8434,26,46,0,8164,250,90082.333333,9391.41,278.81,51.06,29,486,0
10,10 - Nord-du-Québec,1477,1,1248,229,4,0,1466,7,13383.666667,11035.84,52.62,29.89,5,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8960,17,8923,37,82,0,8745,133,90783.333333,9869.65,146.32,90.32,19,427,0
12,12 - Chaudière-Appalaches,60948,24,60665,283,659,0,59827,462,434525.66667,14026.33,105.83,151.66,71,2522,3
13,13 - Laval,71169,28,69209,1960,1106,3,69678,385,445993.33333,15957.41,85.53,247.99,50,3224,5
14,14 - Lanaudière,69455,40,68739,716,767,0,68177,511,530581,13090.37,95.16,144.56,58,2788,3
15,15 - Laurentides,78881,44,78276,605,758,3,77241,882,640046.66667,12324.26,135.96,118.43,83,3688,6
16,16 - Montérégie,148135,99,146222,1913,2213,3,144320,1602,1452381.3333,10199.46,109.22,152.37,184,8002,12
17,17 - Nunavik,3003,0,2997,6,10,0,2972,21,14619,20541.76,141.21,68.40,2,111,0
18,18 - Terres-Cries-de-la-Baie-James,2931,0,2533,398,16,0,2884,31,18660.333333,15707.11,163.41,85.74,7,98,2
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,374,0
99,Hors Québec,2911,1,2903,8,2,0,2889,20,.,.,.,.,1,0,0
999,Ensemble du Québec,1060657,612,1049104,11553,15338,12,1034867,10452,8613493.6667,12313.90,120.45,178.07,1220,52780,74

