,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2548,41,2529,19,35,0,2235,278,196934.5,1293.83,141.26,17.77
02,02 - Saguenay-Lac-Saint-Jean,9927,30,9717,210,266,0,9442,219,277505,3577.23,78.95,95.85
03,03 - Capitale-Nationale,29472,184,29124,348,1050,1,25748,2674,757803,3889.14,351.77,138.56
04,04 - Mauricie et Centre-du-Québec,13785,36,13550,235,508,0,12915,362,523331.5,2634.09,69.04,97.07
05,05 - Estrie,12692,39,12201,491,329,3,11986,377,494966.5,2564.21,75.89,66.47
06,06 - Montréal,122145,336,119242,2903,4653,2,113969,3523,2072060.5,5894.86,169.50,224.56
07,07 - Outaouais,10281,143,9840,441,185,0,8959,1137,402744,2552.74,281.12,45.93
08,08 - Abitibi-Témiscamingue,1077,2,1044,33,9,0,1028,40,147637,729.49,27.09,6.10
09,09 - Côte-Nord,422,2,406,16,3,0,370,49,89700.5,470.45,54.83,3.34
10,10 - Nord-du-Québec,90,0,88,2,0,0,90,0,13521.5,665.61,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1821,6,1802,19,45,0,1730,46,89823,2027.32,51.31,50.10
12,12 - Chaudière-Appalaches,15211,139,14936,275,298,0,13284,1629,431109.5,3528.34,377.16,69.12
13,13 - Laval,28739,86,27047,1692,894,0,27176,669,444658.5,6463.16,149.81,201.05
14,14 - Lanaudière,22558,57,21848,710,504,0,21536,518,522367,4318.42,98.73,96.48
15,15 - Laurentides,19048,79,18443,605,495,0,18009,544,630238,3022.35,85.87,78.54
16,16 - Montérégie,46646,161,44738,1908,1525,3,43755,1366,1438226,3243.30,94.62,106.03
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,5,0,5,0,0,0,4,1,.,.,.,.
99,Hors Québec,320,3,315,5,0,0,303,17,.,.,.,.
999,Ensemble du Québec,336952,1344,327038,9914,10802,9,312701,13449,8565469.5,3933.84,156.53,126.11

