Date,Regroupement,Croisement,Nom,vac_quo_1_n,vac_quo_2_n,vac_cum_1_n,vac_cum_2_n,vac_quo_tot_n,vac_cum_tot_n,cvac_cum_tot_1_p
2020-12-14,Région,RSS00,Inconnue,,,,,30,30,0.008647
2020-12-14,Région,RSS01,01 - Bas-Saint-Laurent,,,,,1,1,0.000508577
2020-12-14,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,,,,,0,0,0
2020-12-14,Région,RSS03,03 - Capitale-Nationale,,,,,131,131,0.0168312
2020-12-14,Région,RSS04,04 - Mauricie et Centre-du-Québec,,,,,0,0,0
2020-12-14,Région,RSS05,05 - Estrie,,,,,0,0,0
2020-12-14,Région,RSS06,06 - Montréal,,,,,122,122,0.00632874
2020-12-14,Région,RSS07,07 - Outaouais,,,,,0,0,0
2020-12-14,Région,RSS08,08 - Abitibi-Témiscamingue,,,,,0,0,0
2020-12-14,Région,RSS09,09 - Côte-Nord,,,,,0,0,0
2020-12-14,Région,RSS10,10 - Nord-du-Québec,,,,,0,0,0
2020-12-14,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,,,,,0,0,0
2020-12-14,Région,RSS12,12 - Chaudière-Appalaches,,,,,5,5,0.00117281
2020-12-14,Région,RSS13,13 - Laval,,,,,2,2,0.00047206
2020-12-14,Région,RSS14,14 - Lanaudière,,,,,0,0,0
2020-12-14,Région,RSS15,15 - Laurentides,,,,,0,0,0
2020-12-14,Région,RSS16,16 - Montérégie,,,,,0,0,0
2020-12-14,Région,RSS17,17 - Nunavik,,,,,0,0,0
2020-12-14,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,,,,,0,0,0
2020-12-14,Région,RSS98,Hors Québec,,,,,0,0,0
2020-12-14,Région,RSS99,Ensemble du Québec,,,,,291,291,0.00319287
2020-12-14,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,,,,,1,1,0
2020-12-14,Groupe d'âge 1,GR1_16_59,16 à 59 ans,,,,,63,63,0.00131382
2020-12-14,Groupe d'âge 1,GR1_60_69,60 à 69 ans,,,,,24,24,0.00205756
2020-12-14,Groupe d'âge 1,GR1_70_79,70 à 79 ans,,,,,35,35,0.00436004
2020-12-14,Groupe d'âge 1,GR1_80_,80 ans et plus,,,,,168,168,0.0367523
2020-12-14,Groupe d'âge 1,TOT,Total,,,,,291,291,0.00319287
2020-12-14,Sexe,FEM,Féminin,,,,,194,194,
2020-12-14,Sexe,INC,Inconnu,,,,,0,0,
2020-12-14,Sexe,MASC,Masculin,,,,,97,97,
2020-12-14,Sexe,TOT,Total,,,,,291,291,
2020-12-14,Groupe prioritaire,GRP-Autres,Autres raisons,,,,,0,0,
2020-12-14,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,,,,,230,230,
2020-12-14,Groupe prioritaire,GRP-MC,Maladie chronique,,,,,0,0,
2020-12-14,Groupe prioritaire,GRP-RPA,Résident en RPA,,,,,0,0,
2020-12-14,Groupe prioritaire,GRP-TS,Travailleur de la santé,,,,,61,61,
2020-12-14,Groupe prioritaire,TOT,Total,,,,,291,291,
2020-12-15,Région,RSS00,Inconnue,,,,,89,119,0.0373552
2020-12-15,Région,RSS01,01 - Bas-Saint-Laurent,,,,,0,1,0.000508577
2020-12-15,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,,,,,3,3,0.00109385
2020-12-15,Région,RSS03,03 - Capitale-Nationale,,,,,611,742,0.098900961
2020-12-15,Région,RSS04,04 - Mauricie et Centre-du-Québec,,,,,5,5,0.000968339
2020-12-15,Région,RSS05,05 - Estrie,,,,,0,0,0
2020-12-15,Région,RSS06,06 - Montréal,,,,,342,464,0.0248239
2020-12-15,Région,RSS07,07 - Outaouais,,,,,0,0,0
2020-12-15,Région,RSS08,08 - Abitibi-Témiscamingue,,,,,0,0,0
2020-12-15,Région,RSS09,09 - Côte-Nord,,,,,1,1,0
2020-12-15,Région,RSS10,10 - Nord-du-Québec,,,,,0,0,0
2020-12-15,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,,,,,0,0,0
2020-12-15,Région,RSS12,12 - Chaudière-Appalaches,,,,,45,50,0.0117281
2020-12-15,Région,RSS13,13 - Laval,,,,,23,25,0.00590075
2020-12-15,Région,RSS14,14 - Lanaudière,,,,,1,1,0.0001922
2020-12-15,Région,RSS15,15 - Laurentides,,,,,8,8,0.00128948
2020-12-15,Région,RSS16,16 - Montérégie,,,,,38,38,0.00271433
2020-12-15,Région,RSS17,17 - Nunavik,,,,,0,0,0
2020-12-15,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,,,,,0,0,0
2020-12-15,Région,RSS98,Hors Québec,,,,,0,0,0
2020-12-15,Région,RSS99,Ensemble du Québec,,,,,1166,1457,0.0166147
2020-12-15,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,,,,,0,1,0
2020-12-15,Groupe d'âge 1,GR1_16_59,16 à 59 ans,,,,,848,911,0.0191775
2020-12-15,Groupe d'âge 1,GR1_60_69,60 à 69 ans,,,,,116,140,0.0125243
2020-12-15,Groupe d'âge 1,GR1_70_79,70 à 79 ans,,,,,43,78,0.0101734
2020-12-15,Groupe d'âge 1,GR1_80_,80 ans et plus,,,,,159,327,0.068427072
2020-12-15,Groupe d'âge 1,TOT,Total,,,,,1166,1457,0.0166147
2020-12-15,Sexe,FEM,Féminin,,,,,820,1014,
2020-12-15,Sexe,INC,Inconnu,,,,,0,0,
2020-12-15,Sexe,MASC,Masculin,,,,,346,443,
2020-12-15,Sexe,TOT,Total,,,,,1166,1457,
2020-12-15,Groupe prioritaire,GRP-Autres,Autres raisons,,,,,6,6,
2020-12-15,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,,,,,230,460,
2020-12-15,Groupe prioritaire,GRP-MC,Maladie chronique,,,,,0,0,
