RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,16,0,0,0,16,628,319.11
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,170,61.29
03 - Capitale-Nationale,153,2,0,3,158,5155,678.16
04 - Mauricie et Centre-du-Québec,6,0,0,0,6,404,77.05
05 - Estrie,35,0,0,0,35,452,90.99
06 - Montréal,1596,10,5,5,1616,6314,303.78
07 - Outaouais,174,2,0,5,181,2034,502.90
08 - Abitibi-Témiscamingue,0,131,0,0,131,219,148.32
09 - Côte-Nord,0,0,0,0,0,33,36.93
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,28,31.23
12 - Chaudière-Appalaches,68,0,0,0,68,1174,271.82
13 - Laval,133,3,0,4,140,1384,309.92
14 - Lanaudière,112,5,0,1,118,695,132.47
15 - Laurentides,150,6,1,0,157,1011,159.59
16 - Montérégie,98,3,2,0,103,1483,102.72
Inconnu,0,1,0,0,1,777,
Hors Québec,13,0,0,1,14,30,
Ensemble du Québec,2554,163,8,19,2744,21991,255.95
