No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,8,11,4,9,0,35,0.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,75,4,85,8,266,2.5 %
03,03 - Capitale-Nationale,3,515,169,28,311,24,1050,9.7 %
04,04 - Mauricie et Centre-du-Québec,6,151,222,21,103,5,508,4.7 %
05,05 - Estrie,3,125,62,17,110,12,329,3.0 %
06,06 - Montréal,202,2727,839,133,678,74,4653,43.1 %
07,07 - Outaouais,8,74,46,13,42,2,185,1.7 %
08,08 - Abitibi-Témiscamingue,0,0,8,0,1,0,9,0.1 %
09,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.4 %
12,12 - Chaudière-Appalaches,5,106,74,6,103,4,298,2.8 %
13,13 - Laval,2,509,141,53,184,5,894,8.3 %
14,14 - Lanaudière,3,246,123,12,118,2,504,4.7 %
15,15 - Laurentides,64,176,110,50,81,14,495,4.6 %
16,16 - Montérégie,15,613,365,61,462,9,1525,14.1 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,2,0,0,1,3,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),314,5359,2267,402,2300,160,10802,
9999,Ensemble du Québec (%),2.9 %,49.6 %,21.0 %,3.7 %,21.3 %,1.5 %,.,100.0 %

