"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;60394
02 - Saguenay - Lac-Saint-Jean;78824
03 - Capitale-Nationale;212218
04 - Mauricie et Centre-du-Québec;141499
05 - Estrie;120600
06 - Montréal;641412
07 - Outaouais;100290
08 - Abitibi-Témiscamingue;33914
09 - Côte-Nord;37033
10 - Nord-du-Québec;9421
11 - Gaspésie - Îles-de-la-Madeleine;39274
12 - Chaudière-Appalaches;111523
13 - Laval;115269
14 - Lanaudière;131562
15 - Laurentides;149706
16 - Montérégie;349847
17 - Nunavik;6916
18 - Terres-Cries-de-la-Baie-James;16916
Inconnue;2139
Total;2358757
