,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20802,14,20763,39,174,0,20383,245,197738.33333,10519.96,123.95,88.00,28,877,0
02,02 - Saguenay-Lac-Saint-Jean,30432,16,30071,361,443,0,29688,301,278600,10923.19,108.04,159.01,26,1620,0
03,03 - Capitale-Nationale,88587,48,88226,361,1553,0,86310,724,761103.66667,11639.28,94.45,204.05,68,4288,2
04,04 - Mauricie et Centre-du-Québec,58921,19,58681,240,1007,0,57552,362,527666.66667,11166.33,68.27,190.84,39,3185,2
05,05 - Estrie,49693,29,49169,524,624,0,48648,421,502406,9891.00,82.88,124.20,60,2759,2
06,06 - Montréal,309260,130,305900,3360,5481,1,301964,1815,2061667.3333,15000.48,87.62,265.85,135,16169,16
07,07 - Outaouais,39813,20,39368,445,316,0,39250,247,405378.66667,9821.19,60.28,77.95,23,1859,4
08,08 - Abitibi-Témiscamingue,11013,16,10972,41,111,0,10768,134,147876.33333,7447.44,90.58,75.06,16,647,4
09,09 - Côte-Nord,8663,12,8637,26,46,0,8428,189,90082.333333,9616.76,210.78,51.06,21,504,3
10,10 - Nord-du-Québec,1507,3,1277,230,4,0,1490,13,13383.666667,11259.99,97.71,29.89,0,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9104,9,9067,37,82,0,8906,116,90783.333333,10028.27,127.62,90.32,15,439,0
12,12 - Chaudière-Appalaches,61263,15,60980,283,668,0,60279,316,434525.66667,14098.82,72.38,153.73,29,2549,0
13,13 - Laval,71519,29,69559,1960,1116,0,70088,315,445993.33333,16035.89,69.98,250.23,26,3258,2
14,14 - Lanaudière,69784,22,69068,716,776,0,68712,296,530581,13152.37,55.12,146.25,21,2819,1
15,15 - Laurentides,79497,55,78892,605,765,1,78100,632,640046.66667,12420.50,97.42,119.52,46,3760,6
16,16 - Montérégie,149372,99,147459,1913,2240,0,145855,1277,1452381.3333,10284.63,87.06,154.23,104,8158,20
17,17 - Nunavik,3012,2,3006,6,10,0,2993,9,14619,20603.32,60.52,68.40,1,111,0
18,18 - Terres-Cries-de-la-Baie-James,2953,1,2558,395,17,0,2912,24,18660.333333,15825.01,126.51,91.10,1,101,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,389,3
99,Hors Québec,2952,3,2944,8,2,0,2927,23,.,.,.,.,2,0,0
999,Ensemble du Québec,1068147,542,1056597,11550,15435,2,1045253,7459,8613493.6667,12400.86,85.96,179.20,661,53544,65

