No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,2,1,3,0,9,0.1 %
2,02 - Saguenay–Lac-Saint-Jean,1,36,17,0,5,6,65,1.0 %
3,03 - Capitale-Nationale,2,198,73,3,76,4,356,5.5 %
4,04 - Mauricie et Centre-du-Québec,6,124,42,12,48,2,234,3.6 %
5,05 - Estrie,1,12,10,0,21,3,47,0.7 %
6,06 - Montréal,189,2454,340,102,432,36,3553,54.7 %
7,07 - Outaouais,5,20,11,7,12,4,59,0.9 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,12,11,0,6,0,29,0.4 %
12,12 - Chaudière-Appalaches,5,15,24,6,33,3,86,1.3 %
13,13 - Laval,2,470,61,42,132,7,714,11.0 %
14,14 - Lanaudière,3,137,46,6,57,0,249,3.8 %
15,15 - Laurentides,59,107,49,31,60,8,314,4.8 %
16,16 - Montérégie,13,344,134,35,232,13,771,11.9 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),289,3929,825,245,1118,87,6493,
9999,Ensemble du Québec (%),4.5 %,60.5 %,12.7 %,3.8 %,17.2 %,1.3 %,           .,100.0 %
