RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,514,261.19
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,79,28.48
03 - Capitale-Nationale,51,2,0,0,53,3889,511.61
04 - Mauricie et Centre-du-Québec,3,0,0,0,3,254,48.44
05 - Estrie,24,0,0,0,24,297,59.79
06 - Montréal,988,8,3,5,1004,5159,248.21
07 - Outaouais,39,1,0,5,45,1249,308.81
08 - Abitibi-Témiscamingue,0,131,0,0,131,208,140.87
09 - Côte-Nord,0,0,0,0,0,24,26.86
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,13,14.50
12 - Chaudière-Appalaches,12,0,0,0,12,977,226.20
13 - Laval,98,3,0,1,102,1097,245.65
14 - Lanaudière,58,5,0,1,64,495,94.35
15 - Laurentides,101,6,1,0,108,756,119.34
16 - Montérégie,49,3,2,0,54,1073,74.32
Inconnu,0,1,0,0,1,604,
Hors Québec,12,0,0,1,13,28,
Ensemble du Québec,1435,160,6,13,1614,16716,194.56
