"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;48496
02 - Saguenay - Lac-Saint-Jean;64964
03 - Capitale-Nationale;168450
04 - Mauricie et Centre-du-Québec;116325
05 - Estrie;99965
06 - Montréal;567372
07 - Outaouais;84409
08 - Abitibi-Témiscamingue;28878
09 - Côte-Nord;33898
10 - Nord-du-Québec;9337
11 - Gaspésie - Îles-de-la-Madeleine;33763
12 - Chaudière-Appalaches;91575
13 - Laval;101368
14 - Lanaudière;112299
15 - Laurentides;123136
16 - Montérégie;297083
17 - Nunavik;6252
18 - Terres-Cries-de-la-Baie-James;15378
Inconnue;2158
Total;2005106
