,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,11551,69,11512,39,79,2,10542,930,197738.33333,5841.56,470.50,39.95,77
02,02 - Saguenay-Lac-Saint-Jean,20657,126,20298,359,310,4,19165,1182,278600,7414.57,424.27,111.27,128
03,03 - Capitale-Nationale,63551,364,63186,365,1252,9,57436,4863,761103.66667,8349.85,634.38,164.50,367
04,04 - Mauricie et Centre-du-Québec,42271,198,42031,240,731,5,37885,3655,527666.66667,8010.93,689.25,138.53,290
05,05 - Estrie,37673,146,37148,525,490,16,35281,1902,502406,7498.52,374.42,97.53,227
06,06 - Montréal,265794,616,262495,3299,5124,10,249645,11025,2061667.3333,12892.19,532.23,248.54,1095
07,07 - Outaouais,32417,108,31970,447,256,4,30591,1570,405378.66667,7996.72,383.17,63.15,179
08,08 - Abitibi-Témiscamingue,5376,55,5341,35,37,2,4583,756,147876.33333,3635.47,511.01,25.02,116
09,09 - Côte-Nord,3482,32,3455,27,11,3,2806,665,90082.333333,3865.35,741.62,12.21,55
10,10 - Nord-du-Québec,674,1,575,99,0,0,616,58,13383.666667,5035.99,435.96,0.00,16
11,11 - Gaspésie-Îles-de-la-Madeleine,4388,30,4352,36,49,0,4090,249,90783.333333,4833.49,273.94,53.97,19
12,12 - Chaudière-Appalaches,46498,241,46223,275,472,3,42796,3230,434525.66667,10700.86,739.86,108.62,250
13,13 - Laval,62327,119,60365,1962,999,7,59231,2097,445993.33333,13974.87,465.87,223.99,252
14,14 - Lanaudière,57720,170,57006,714,633,1,54427,2660,530581,10878.64,495.34,119.30,189
15,15 - Laurentides,62240,253,61634,606,605,5,58443,3192,640046.66667,9724.29,492.05,94.52,546
16,16 - Montérégie,118793,353,116884,1909,1875,13,110109,6809,1452381.3333,8179.19,464.20,129.10,616
17,17 - Nunavik,2089,18,2085,4,6,0,1839,244,14619,14289.62,1640.78,41.04,18
18,18 - Terres-Cries-de-la-Baie-James,1486,64,1311,175,6,1,1213,267,18660.333333,7963.42,1407.41,32.15,86
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2423,14,2415,8,1,0,2340,82,.,.,.,.,13
999,Ensemble du Québec,841414,2977,830289,11125,12936,85,783042,45436,8613493.6667,9768.56,523.62,150.18,4539

