"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;37899
02 - Saguenay - Lac-Saint-Jean;54855
03 - Capitale-Nationale;141213
04 - Mauricie et Centre-du-Québec;102831
05 - Estrie;85953
06 - Montréal;521814
07 - Outaouais;70834
08 - Abitibi-Témiscamingue;26089
09 - Côte-Nord;31223
10 - Nord-du-Québec;9337
11 - Gaspésie - Îles-de-la-Madeleine;30115
12 - Chaudière-Appalaches;76608
13 - Laval;89680
14 - Lanaudière;96728
15 - Laurentides;106599
16 - Montérégie;251408
17 - Nunavik;5935
18 - Terres-Cries-de-la-Baie-James;13669
Inconnue;1959
Total;1754749
