,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2267,29,2248,19,33,0,1948,286,196934.5,1151.14,145.33,16.76
02,02 - Saguenay-Lac-Saint-Jean,9652,22,9443,209,266,1,9187,199,277505,3478.14,71.74,95.85
03,03 - Capitale-Nationale,26859,449,26518,341,1029,2,23115,2715,757803,3544.32,357.17,135.79
04,04 - Mauricie et Centre-du-Québec,13399,25,13166,233,508,0,12701,190,523331.5,2560.33,36.24,97.07
05,05 - Estrie,12301,47,11820,481,323,0,11686,292,494966.5,2485.22,58.78,65.26
06,06 - Montréal,118960,392,116063,2897,4639,0,110870,3451,2072060.5,5741.15,166.04,223.88
07,07 - Outaouais,8713,120,8277,436,178,3,7675,860,402744,2163.41,212.63,44.20
08,08 - Abitibi-Témiscamingue,1037,5,1004,33,9,0,969,59,147637,702.40,39.96,6.10
09,09 - Côte-Nord,379,4,364,15,3,0,355,21,89700.5,422.52,23.50,3.34
10,10 - Nord-du-Québec,90,0,88,2,0,0,88,2,13521.5,665.61,14.83,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1766,5,1747,19,45,0,1704,17,89823,1966.09,18.96,50.10
12,12 - Chaudière-Appalaches,13472,218,13202,270,292,1,12084,1096,431109.5,3124.96,253.76,67.73
13,13 - Laval,27980,105,26309,1671,891,1,26362,727,444658.5,6292.47,162.80,200.38
14,14 - Lanaudière,22059,37,21348,711,503,0,21160,396,522367,4222.89,75.48,96.29
15,15 - Laurentides,18373,87,17770,603,489,0,17411,473,630238,2915.25,74.66,77.59
16,16 - Montérégie,45321,134,43427,1894,1515,0,42705,1101,1438226,3151.17,76.26,105.34
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,4,0,4,0,0,0,4,0,.,.,.,.
99,Hors Québec,297,4,292,5,0,0,285,12,.,.,.,.
999,Ensemble du Québec,323094,1683,313253,9841,10726,8,300471,11897,8565469.5,3772.05,138.47,125.22

