RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,439,223.07
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,36,12.98
03 - Capitale-Nationale,51,1,0,0,52,3186,419.13
04 - Mauricie et Centre-du-Québec,3,0,0,0,3,177,33.76
05 - Estrie,24,0,0,0,24,225,45.29
06 - Montréal,983,7,1,5,996,4483,215.69
07 - Outaouais,39,0,0,5,44,1097,271.23
08 - Abitibi-Témiscamingue,0,128,0,0,128,205,138.83
09 - Côte-Nord,0,0,0,0,0,10,11.19
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,4,4.46
12 - Chaudière-Appalaches,12,0,0,0,12,873,202.13
13 - Laval,98,3,0,1,102,1042,233.33
14 - Lanaudière,58,5,0,0,63,421,80.25
15 - Laurentides,101,6,1,0,108,637,100.55
16 - Montérégie,49,3,0,0,52,772,53.47
Inconnu,0,1,0,0,1,575,
Hors Québec,12,0,0,1,13,26,
Ensemble du Québec,1430,154,2,12,1598,14208,165.37
