No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,119,7,25,0,167,1.1 %
02,02 - Saguenay-Lac-Saint-Jean,0,127,151,10,133,12,433,2.8 %
03,03 - Capitale-Nationale,7,618,375,39,460,35,1534,10.1 %
04,04 - Mauricie et Centre-du-Québec,4,157,693,22,114,5,995,6.5 %
05,05 - Estrie,4,175,206,26,181,16,608,4.0 %
06,06 - Montréal,216,2834,1371,158,796,79,5454,35.9 %
07,07 - Outaouais,11,94,123,15,63,4,310,2.0 %
08,08 - Abitibi-Témiscamingue,3,35,47,6,18,1,110,0.7 %
09,09 - Côte-Nord,0,0,45,0,1,0,46,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,53,0,13,0,82,0.5 %
12,12 - Chaudière-Appalaches,5,164,267,10,188,6,640,4.2 %
13,13 - Laval,5,546,275,59,206,10,1101,7.2 %
14,14 - Lanaudière,3,312,246,25,168,5,759,5.0 %
15,15 - Laurentides,63,259,247,64,104,13,750,4.9 %
16,16 - Montérégie,16,708,770,74,601,12,2181,14.3 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,14,0,0,1,15,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),340,6058,5018,515,3071,199,15201,
9999,Ensemble du Québec (%),2.2 %,39.9 %,33.0 %,3.4 %,20.2 %,1.3 %,.,100.0 %

