,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20294,24,20255,39,167,0,19603,524,197738.33333,10263.06,265.10,84.46,69,821,3
02,02 - Saguenay-Lac-Saint-Jean,29877,47,29516,361,433,2,28844,600,278600,10723.98,215.37,155.42,46,1563,5
03,03 - Capitale-Nationale,87383,88,87022,361,1534,3,84308,1541,761103.66667,11481.09,201.02,201.55,118,4157,7
04,04 - Mauricie et Centre-du-Québec,58238,73,57998,240,995,0,56087,1156,527666.66667,11036.89,218.00,188.57,133,3103,7
05,05 - Estrie,48979,61,48455,524,608,0,47186,1185,502406,9748.89,233.28,121.02,78,2657,8
06,06 - Montréal,306048,219,302688,3360,5454,4,297278,3316,2061667.3333,14844.68,160.08,264.54,243,15832,36
07,07 - Outaouais,39362,36,38914,448,310,0,38585,467,405378.66667,9709.93,113.98,76.47,41,1797,6
08,08 - Abitibi-Témiscamingue,10718,44,10677,41,110,0,10425,183,147876.33333,7247.95,123.70,74.39,18,613,3
09,09 - Côte-Nord,8289,26,8263,26,46,0,7909,334,90082.333333,9201.58,372.49,51.06,12,469,-1
10,10 - Nord-du-Québec,1456,6,1229,227,4,0,1415,37,13383.666667,10878.93,278.11,29.89,4,51,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8871,18,8834,37,82,1,8611,178,90783.333333,9771.62,195.83,90.32,12,422,1
12,12 - Chaudière-Appalaches,60668,52,60385,283,640,6,59277,751,434525.66667,13961.89,172.02,147.29,66,2480,4
13,13 - Laval,70892,49,68931,1961,1101,2,69233,558,445993.33333,15895.30,123.97,246.86,40,3186,11
14,14 - Lanaudière,69115,57,68399,716,759,0,67584,772,530581,13026.29,143.76,143.05,60,2743,7
15,15 - Laurentides,78382,81,77776,606,750,1,76417,1215,640046.66667,12246.29,187.29,117.18,78,3598,16
16,16 - Montérégie,147157,210,145244,1913,2181,4,142698,2278,1452381.3333,10132.12,155.30,150.17,220,7861,10
17,17 - Nunavik,2985,3,2979,6,10,0,2952,23,14619,20418.63,154.66,68.40,3,105,0
18,18 - Terres-Cries-de-la-Baie-James,2902,9,2507,395,15,0,2856,31,18660.333333,15551.71,163.41,80.38,4,93,1
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,384,0
99,Hors Québec,2894,-2,2886,8,2,0,2863,29,.,.,.,.,-2,0,0
999,Ensemble du Québec,1054510,1101,1042958,11552,15201,23,1024131,15178,8613493.6667,12242.54,174.92,176.48,1243,51935,124

