Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;6322
02 - Saguenay – Lac-Saint-Jean;9567
03 - Capitale-Nationale;29122
04 - Mauricie-et-Centre-du-Québec;14949
05 - Estrie;12038
06 - Montréal;79 683
07 - Outaouais;9798
08 - Abitibi-Témiscamingue;8746
09 - Côte-Nord;15 265
10 - Nord-du-Québec;7189
11 - Gaspésie – Îles-de-la-Madeleine;7857
12 - Chaudière-Appalaches;11696
13 - Laval;10654
14 - Lanaudière;12403
15 - Laurentides;13571
16 - Montérégie;36336
17 - Nunavik;3476
18 - Terres-Cries-de-la-Baie-James;9694
Inconnu;1307
Total;299 673
