,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20885,15,20846,39,176,0,20474,235,197738.33333,10561.94,118.89,89.01,21,884,3
02,02 - Saguenay-Lac-Saint-Jean,30483,15,30122,361,445,2,29786,252,278600,10941.49,90.45,159.73,18,1622,0
03,03 - Capitale-Nationale,88770,64,88409,361,1559,0,86576,635,761103.66667,11663.33,82.84,204.83,64,4299,5
04,04 - Mauricie et Centre-du-Québec,59027,33,58787,240,1011,1,57658,358,527666.66667,11186.42,67.51,191.60,19,3192,5
05,05 - Estrie,49793,71,49269,524,625,1,48795,373,502406,9910.91,73.43,124.40,38,2766,5
06,06 - Montréal,309771,139,306412,3359,5481,0,302567,1723,2061667.3333,15025.27,83.18,265.85,126,16206,22
07,07 - Outaouais,39899,13,39454,445,316,0,39335,248,405378.66667,9842.40,60.53,77.95,26,1870,7
08,08 - Abitibi-Témiscamingue,11049,15,11008,41,111,0,10819,119,147876.33333,7471.78,80.44,75.06,9,651,1
09,09 - Côte-Nord,8734,40,8708,26,46,0,8496,192,90082.333333,9695.57,214.12,51.06,10,512,6
10,10 - Nord-du-Québec,1516,2,1285,231,4,0,1499,13,13383.666667,11327.24,97.71,29.89,6,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9133,5,9096,37,82,0,8932,119,90783.333333,10060.22,130.92,90.32,3,444,4
12,12 - Chaudière-Appalaches,61345,24,61062,283,669,0,60381,295,434525.66667,14117.69,67.57,153.96,18,2554,4
13,13 - Laval,71614,23,69654,1960,1116,0,70195,303,445993.33333,16057.19,67.32,250.23,27,3272,8
14,14 - Lanaudière,69874,29,69158,716,776,0,68842,256,530581,13169.34,47.67,146.25,24,2823,3
15,15 - Laurentides,79655,49,79050,605,765,0,78311,579,640046.66667,12445.19,89.25,119.52,55,3768,7
16,16 - Montérégie,149671,88,147757,1914,2245,2,146339,1087,1452381.3333,10305.21,74.11,154.57,128,8187,20
17,17 - Nunavik,3015,0,3009,6,10,0,2996,9,14619,20623.85,60.52,68.40,1,111,0
18,18 - Terres-Cries-de-la-Baie-James,2957,3,2562,395,17,0,2917,23,18660.333333,15846.45,121.24,91.10,2,101,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,391,2
99,Hors Québec,2959,2,2951,8,2,0,2937,20,.,.,.,.,2,0,0
999,Ensemble du Québec,1070150,630,1058599,11551,15456,6,1047855,6839,8613493.6667,12424.11,78.82,179.44,597,53705,102

