"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;17358
02 - Saguenay - Lac-Saint-Jean;26981
03 - Capitale-Nationale;76877
04 - Mauricie et Centre-du-Québec;52833
05 - Estrie;40400
06 - Montréal;332415
07 - Outaouais;28162
08 - Abitibi-Témiscamingue;16408
09 - Côte-Nord;22391
10 - Nord-du-Québec;8716
11 - Gaspésie - Îles-de-la-Madeleine;15968
12 - Chaudière-Appalaches;40396
13 - Laval;52907
14 - Lanaudière;48848
15 - Laurentides;54414
16 - Montérégie;137666
17 - Nunavik;5207
18 - Terres-Cries-de-la-Baie-James;10496
Inconnue;4659
Total;993102
