RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,135,68.60
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,7,2.52
03 - Capitale-Nationale,26,0,0,0,26,703,92.48
04 - Mauricie et Centre-du-Québec,1,0,0,0,1,63,12.02
05 - Estrie,9,0,0,0,9,93,18.72
06 - Montréal,461,1,1,2,465,2746,132.12
07 - Outaouais,0,0,0,0,0,411,101.62
08 - Abitibi-Témiscamingue,0,100,0,0,100,178,120.55
09 - Côte-Nord,0,0,0,0,0,0,0.00
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0.00
12 - Chaudière-Appalaches,0,0,0,0,0,235,54.41
13 - Laval,30,0,0,0,30,654,146.45
14 - Lanaudière,8,2,0,0,10,234,44.60
15 - Laurentides,33,1,0,0,34,380,59.98
16 - Montérégie,27,2,0,0,29,387,26.81
Inconnu,0,1,0,0,1,243,
Hors Québec,0,0,0,0,0,11,
Ensemble du Québec,595,107,1,2,705,6480,75.42
