"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;22909
02 - Saguenay - Lac-Saint-Jean;35382
03 - Capitale-Nationale;98738
04 - Mauricie et Centre-du-Québec;67395
05 - Estrie;52242
06 - Montréal;417299
07 - Outaouais;43714
08 - Abitibi-Témiscamingue;20075
09 - Côte-Nord;27957
10 - Nord-du-Québec;8947
11 - Gaspésie - Îles-de-la-Madeleine;21925
12 - Chaudière-Appalaches;54567
13 - Laval;64870
14 - Lanaudière;65401
15 - Laurentides;72392
16 - Montérégie;170322
17 - Nunavik;5303
18 - Terres-Cries-de-la-Baie-James;10633
Inconnue;1784
Total;1261855
