RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,0,0,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,122,0,2,0,124,,,,
03 - Capitale-Nationale,649,4,12,16,681,,,,
04 - Mauricie et Centre-du-Québec,112,0,1,33,146,,,,
05 - Estrie,99,0,17,9,125,,,,
06 - Montréal,3350,137,255,192,3934,,,,
07 - Outaouais,491,16,35,15,557,,,,
08 - Abitibi-Témiscamingue,0,177,0,0,177,,,,
09 - Côte-Nord,11,0,0,0,11,,,,
10 - Nord-du-Québec,0,1,0,0,1,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,,,,
12 - Chaudière-Appalaches,561,2,13,1,577,,,,
13 - Laval,438,13,19,23,493,,,,
14 - Lanaudière,303,33,13,11,360,,,,
15 - Laurentides,504,30,53,17,604,,,,
16 - Montérégie,369,25,139,70,603,,,,
Inconnu,0,1,0,2,3,,,,
Hors Québec,50,9,4,20,83,,,,
Ensemble du Québec,7240,448,563,411,8662,,,,
