Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;8;17;* 15,5;4819;4387,2;0;;0;
5-9 ans;29;54;50,2;6379;5929,5;0;;0;
10-19 ans;73;109;54,8;14754;7417,2;0;;0;
20-29 ans;167;277;85,1;22953;7049,9;0;;< 5;n.p.
30-39 ans;106;173;52,7;20672;6298,3;0;;7;n.p.
40-49 ans;70;131;47,2;19953;7187,8;0;;22;* 7,9
50-59 ans;51;79;30,8;16349;6373,9;0;;105;40,9
60-69 ans;7;18;* 8,3;9947;4598;< 5;n.p.;332;153,5
70-79 ans;9;20;* 13,8;6481;4484,9;0;;837;579,2
80 ans et +;< 5;< 5;n.p.;11944;11873,8;0;;3468;3447,6
Manquant;< 5;< 5;;93;;0;;0;
Total;523;881;42,6;134344;6503,7;< 5;n.p.;4774;231,1
