RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,0,0,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,122,0,2,0,124,,,,
03 - Capitale-Nationale,649,4,10,7,670,,,,
04 - Mauricie et Centre-du-Québec,112,0,1,31,144,,,,
05 - Estrie,99,0,17,5,121,,,,
06 - Montréal,3338,136,254,131,3859,,,,
07 - Outaouais,491,16,35,13,555,,,,
08 - Abitibi-Témiscamingue,0,177,0,0,177,,,,
09 - Côte-Nord,11,0,0,0,11,,,,
10 - Nord-du-Québec,0,1,0,0,1,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,,,,
12 - Chaudière-Appalaches,561,2,12,0,575,,,,
13 - Laval,437,13,18,19,487,,,,
14 - Lanaudière,303,33,13,8,357,,,,
15 - Laurentides,503,30,53,8,594,,,,
16 - Montérégie,368,25,138,46,577,,,,
Inconnu,0,1,0,0,1,,,,
Hors Québec,50,9,3,14,76,,,,
Ensemble du Québec,7225,447,556,284,8512,,,,
