No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,2,0,2,0,7,0.1 %
2,02 - Saguenay–Lac-Saint-Jean,0,23,6,0,0,5,34,0.6 %
3,03 - Capitale-Nationale,2,164,47,3,62,0,278,4.6 %
4,04 - Mauricie et Centre-du-Québec,6,124,36,12,44,0,222,3.6 %
5,05 - Estrie,1,7,7,0,16,3,34,0.6 %
6,06 - Montréal,189,2444,318,101,427,35,3514,57.5 %
7,07 - Outaouais,4,18,4,7,4,0,37,0.6 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,9,8,0,5,0,22,0.4 %
12,12 - Chaudière-Appalaches,4,3,8,4,26,4,49,0.8 %
13,13 - Laval,2,467,60,41,130,6,706,11.6 %
14,14 - Lanaudière,3,124,44,6,48,0,225,3.7 %
15,15 - Laurentides,60,101,43,29,54,7,294,4.8 %
16,16 - Montérégie,11,291,121,34,209,11,677,11.1 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),285,3775,709,237,1028,72,6106,
9999,Ensemble du Québec (%),4.7 %,61.8 %,11.6 %,3.9 %,16.8 %,1.2 %,           .,100.0 %
