,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,19623,45,19584,39,156,2,18419,1048,197738.33333,9923.72,530.20,78.89,81,747,4
02,02 - Saguenay-Lac-Saint-Jean,29012,57,28651,361,412,0,27623,977,278600,10413.50,350.69,147.88,101,1474,7
03,03 - Capitale-Nationale,85468,143,85107,361,1503,0,81559,2406,761103.66667,11229.48,313.86,197.48,227,3937,6
04,04 - Mauricie et Centre-du-Québec,56865,108,56625,240,967,2,53701,2197,527666.66667,10776.69,414.31,183.26,178,2961,9
05,05 - Estrie,47657,71,47133,524,580,0,45503,1574,502406,9485.75,309.86,115.44,126,2489,5
06,06 - Montréal,301623,266,298259,3364,5416,2,291392,4815,2061667.3333,14630.05,232.44,262.70,461,15336,27
07,07 - Outaouais,38679,53,38232,447,299,0,37512,868,405378.66667,9541.45,211.84,73.76,70,1711,3
08,08 - Abitibi-Témiscamingue,10352,16,10311,41,107,1,9922,323,147876.33333,7000.44,218.33,72.36,57,590,0
09,09 - Côte-Nord,7873,9,7847,26,43,0,7419,411,90082.333333,8739.78,458.36,47.73,30,440,2
10,10 - Nord-du-Québec,1369,4,1154,215,4,0,1327,38,13383.666667,10228.89,285.63,29.89,11,41,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8600,18,8562,38,78,0,8146,376,90783.333333,9473.10,413.66,85.92,37,382,3
12,12 - Chaudière-Appalaches,59686,74,59403,283,603,0,57526,1557,434525.66667,13735.90,356.64,138.77,148,2364,8
13,13 - Laval,70042,60,68081,1961,1085,1,67958,999,445993.33333,15704.72,221.94,243.28,99,3078,2
14,14 - Lanaudière,67943,76,67227,716,743,0,65845,1355,530581,12805.40,252.32,140.04,133,2619,5
15,15 - Laurentides,76639,104,76033,606,726,0,74128,1785,640046.66667,11973.97,275.16,113.43,170,3338,10
16,16 - Montérégie,143905,192,141993,1912,2126,0,137959,3820,1452381.3333,9908.21,260.43,146.38,329,7441,35
17,17 - Nunavik,2942,1,2936,6,10,0,2891,41,14619,20124.50,275.70,68.40,8,95,1
18,18 - Terres-Cries-de-la-Baie-James,2802,7,2414,388,14,0,2649,139,18660.333333,15015.81,732.70,75.03,23,85,0
98,Inconnu,1,-3,1,0,0,0,1,0,.,.,.,.,-3,372,1
99,Hors Québec,2841,1,2833,8,2,0,2804,35,.,.,.,.,3,0,0
999,Ensemble du Québec,1033925,1305,1022388,11537,14874,8,994287,24764,8613493.6667,12003.55,285.39,172.68,2292,49500,128

