,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,18604,149,18565,39,134,2,17047,1423,197738.33333,9408.39,719.91,67.77,113,665,9
02,02 - Saguenay-Lac-Saint-Jean,27937,150,27576,361,390,2,26225,1322,278600,10027.64,474.52,139.99,71,1362,8
03,03 - Capitale-Nationale,82888,311,82527,361,1472,0,78272,3144,761103.66667,10890.50,410.13,193.40,224,3729,26
04,04 - Mauricie et Centre-du-Québec,54776,260,54536,240,928,0,51202,2646,527666.66667,10380.80,498.98,175.87,148,2758,18
05,05 - Estrie,45979,182,45454,525,561,1,43847,1571,502406,9151.76,309.26,111.66,115,2294,27
06,06 - Montréal,296264,734,292902,3362,5386,4,284713,6165,2061667.3333,14370.12,297.61,261.24,431,14835,30
07,07 - Outaouais,37673,139,37227,446,298,1,36440,935,405378.66667,9293.29,228.19,73.51,54,1598,8
08,08 - Abitibi-Témiscamingue,9824,84,9783,41,99,0,9180,545,147876.33333,6643.39,368.39,66.95,28,548,8
09,09 - Côte-Nord,7434,76,7408,26,42,0,6756,636,90082.333333,8252.45,709.28,46.62,27,400,1
10,10 - Nord-du-Québec,1275,14,1062,213,4,0,1227,44,13383.666667,9526.54,330.73,29.89,8,41,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8144,68,8107,37,67,0,7353,724,90783.333333,8970.81,796.51,73.80,43,345,4
12,12 - Chaudière-Appalaches,58219,207,57936,283,589,1,55399,2231,434525.66667,13398.29,511.03,135.55,132,2199,10
13,13 - Laval,68846,167,66884,1962,1061,0,66467,1318,445993.33333,15436.55,292.81,237.90,76,2925,14
14,14 - Lanaudière,66332,170,65616,716,734,0,64010,1588,530581,12501.77,295.71,138.34,107,2507,9
15,15 - Laurentides,74710,278,74104,606,718,0,71597,2395,640046.66667,11672.59,369.19,112.18,116,3164,15
16,16 - Montérégie,139800,473,137889,1911,2083,2,133046,4671,1452381.3333,9625.57,318.45,143.42,288,6937,35
17,17 - Nunavik,2890,13,2885,5,10,0,2830,50,14619,19768.79,336.22,68.40,8,89,0
18,18 - Terres-Cries-de-la-Baie-James,2612,36,2229,383,14,0,2363,235,18660.333333,13997.61,1238.73,75.03,7,79,1
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,353,-2
99,Hors Québec,2795,4,2787,8,2,0,2759,34,.,.,.,.,1,0,0
999,Ensemble du Québec,1007006,3515,995480,11526,14592,13,960737,31677,8613493.6667,11691.03,365.06,169.41,1997,46828,221

