,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,16882,164,16843,39,118,0,15619,1145,197738.33333,8537.55,579.27,59.67,36,547,11
02,02 - Saguenay-Lac-Saint-Jean,26128,134,25767,361,369,1,24742,1017,278600,9378.32,365.04,132.45,53,1236,4
03,03 - Capitale-Nationale,78445,350,78084,361,1447,0,74311,2687,761103.66667,10306.74,350.52,190.12,114,3426,14
04,04 - Mauricie et Centre-du-Québec,51473,241,51233,240,911,1,48867,1695,527666.66667,9754.83,319.64,172.65,65,2533,12
05,05 - Estrie,43785,173,43260,525,549,0,42185,1051,502406,8715.06,206.90,109.27,41,2110,4
06,06 - Montréal,287546,511,284183,3363,5341,0,278334,3871,2061667.3333,13947.25,186.87,259.06,152,14424,20
07,07 - Outaouais,36395,76,35950,445,293,0,35585,517,405378.66667,8978.03,126.18,72.28,30,1516,1
08,08 - Abitibi-Témiscamingue,8920,108,8879,41,82,0,8224,614,147876.33333,6032.07,415.03,55.45,43,478,10
09,09 - Côte-Nord,6696,72,6670,26,39,0,6030,627,90082.333333,7433.20,699.25,43.29,24,353,2
10,10 - Nord-du-Québec,1185,6,976,209,4,0,1166,15,13383.666667,8854.08,112.75,29.89,5,36,1
11,11 - Gaspésie-Îles-de-la-Madeleine,7143,98,7107,36,60,0,6179,904,90783.333333,7868.18,994.54,66.09,35,287,7
12,12 - Chaudière-Appalaches,55543,238,55260,283,571,1,53105,1867,434525.66667,12782.44,427.65,131.41,80,1975,12
13,13 - Laval,67088,100,65125,1963,1054,1,65420,614,445993.33333,15042.38,136.41,236.33,45,2823,4
14,14 - Lanaudière,64211,173,63495,716,725,0,62544,942,530581,12102.02,175.42,136.64,23,2349,2
15,15 - Laurentides,71584,194,70977,607,710,1,69701,1173,640046.66667,11184.18,180.82,110.93,50,2967,3
16,16 - Montérégie,133595,390,131685,1910,2054,3,128950,2591,1452381.3333,9198.34,176.64,141.42,114,6440,31
17,17 - Nunavik,2822,4,2818,4,10,0,2763,49,14619,19303.65,329.50,68.40,6,85,1
18,18 - Terres-Cries-de-la-Baie-James,2274,29,1902,372,14,0,2095,165,18660.333333,12186.28,869.75,75.03,5,69,1
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,347,2
99,Hors Québec,2731,6,2723,8,2,0,2686,43,.,.,.,.,10,0,0
999,Ensemble du Québec,964450,3067,952940,11510,14353,8,928510,21587,8613493.6667,11196.97,248.78,166.63,931,44001,142

