No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,78,6,18,0,118,0.8 %
02,02 - Saguenay-Lac-Saint-Jean,0,104,131,9,116,9,369,2.6 %
03,03 - Capitale-Nationale,5,607,327,39,434,35,1447,10.1 %
04,04 - Mauricie et Centre-du-Québec,5,157,608,22,114,5,911,6.3 %
05,05 - Estrie,3,151,193,26,160,16,549,3.8 %
06,06 - Montréal,215,2811,1308,157,771,79,5341,37.2 %
07,07 - Outaouais,11,93,109,15,62,3,293,2.0 %
08,08 - Abitibi-Témiscamingue,3,23,43,3,10,0,82,0.6 %
09,09 - Côte-Nord,0,0,38,0,1,0,39,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,32,0,13,0,60,0.4 %
12,12 - Chaudière-Appalaches,5,146,234,10,170,6,571,4.0 %
13,13 - Laval,4,531,253,59,200,7,1054,7.3 %
14,14 - Lanaudière,3,307,229,22,159,5,725,5.1 %
15,15 - Laurentides,63,244,227,64,99,13,710,4.9 %
16,16 - Montérégie,16,698,705,69,556,10,2054,14.3 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,13,0,0,1,14,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),336,5900,4544,501,2883,189,14353,
9999,Ensemble du Québec (%),2.3 %,41.1 %,31.7 %,3.5 %,20.1 %,1.3 %,.,100.0 %

