RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,72,0,0,0,72,1020,518.31,"91,3","93,7"
02 - Saguenay–Lac-Saint-Jean,20,0,0,0,20,476,171.61,"93,1","81,5"
03 - Capitale-Nationale,255,2,1,7,265,7137,938.90,"97,2","91,6"
04 - Mauricie et Centre-du-Québec,39,0,0,0,39,910,173.56,"87,9","92,8"
05 - Estrie,80,0,2,0,82,1222,245.99,"96,8","94,7"
06 - Montréal,2375,41,19,12,2447,9625,463.08,"80,0","88,6"
07 - Outaouais,347,4,3,6,360,3044,752.62,"92,6","91,2"
08 - Abitibi-Témiscamingue,0,143,0,0,143,237,160.51,"0,0",.
09 - Côte-Nord,5,0,0,0,5,126,140.99,"100,0","77,8"
10 - Nord-du-Québec,0,0,0,0,0,2,14.83,"100,0","0,0"
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,68,75.85,"100,0","91,7"
12 - Chaudière-Appalaches,146,0,3,0,149,2347,543.40,"92,3","86,8"
13 - Laval,270,8,0,5,283,2350,526.23,"78,4","89,2"
14 - Lanaudière,206,5,1,6,218,1212,231.01,"81,3","85,7"
15 - Laurentides,250,7,6,3,266,1836,289.81,"83,0","96,2"
16 - Montérégie,149,5,27,1,182,2861,198.17,"79,3","86,0"
Inconnu,0,1,0,0,1,706,,"100,0","100,0"
Hors Québec,15,1,0,1,17,63,,"100,0","100,0"
Ensemble du Québec,4229,217,62,41,4549,35242,410.18,"85,9","89,4"
