Régions sociosanitaires;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;32;49;23;66;45;3 286
02 - Saguenay – Lac-Saint-Jean;8;19;16;31;22;10 403
03 - Capitale-Nationale;84;75;89;67;56;31 705
04 - Mauricie-et-Centre-du-Québec;26;37;46;38;65;14 468
05 - Estrie;47;48;53;55;70;13 611
06 - Montréal;206;190;255;212;194;126 938
07 - Outaouais;15;32;59;37;33;11 558
08 - Abitibi-Témiscamingue;0;0;1;0;0;1 099
09 - Côte-Nord;5;5;1;3;7;544
10 - Nord-du-Québec;0;0;0;0;0;94
11 - Gaspésie – Îles-de-la-Madeleine;4;5;10;4;11;1 873
12 - Chaudière-Appalaches;99;121;120;107;137;17 539
13 - Laval;88;62;57;75;55;30 192
14 - Lanaudière;35;33;34;38;40;23 293
15 - Laurentides;32;36;60;51;37;20 043
16 - Montérégie;116;83;88;120;140;49 024
17 - Nunavik;0;0;-1;0;0;46
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;119
Hors Québec;1;2;4;3;2;373
Région à déterminer;0;0;0;0;5;8
Total;798;797;915;907;919;356 216
