Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;< 5;222;202,1;4465;4064,9;0;;0;
5-9 ans;16;264;245,4;5999;5576,3;0;;0;
10-19 ans;32;636;319,7;13808;6941,7;0;;0;
20-29 ans;33;579;177,8;21077;6473,7;0;;< 5;n.p.
30-39 ans;28;521;158,7;19415;5915,4;0;;7;n.p.
40-49 ans;38;600;216,1;18875;6799,5;0;;20;* 7,2
50-59 ans;25;435;169,6;15526;6053;< 5;n.p.;95;37
60-69 ans;11;179;82,7;9580;4428,3;< 5;n.p.;317;146,5
70-79 ans;< 5;80;55,4;6294;4355,5;5;n.p.;818;566,1
80 ans et +;5;76;75,6;11803;11733,7;12;* 11,9;3427;3406,9
Manquant;0;6;;96;;0;;0;
Total;194;3598;174,2;126938;6145,2;21;* 1;4687;226,9
