"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;89677
02 - Saguenay - Lac-Saint-Jean;121896
03 - Capitale-Nationale;334917
04 - Mauricie et Centre-du-Québec;226124
05 - Estrie;201117
06 - Montréal;881170
07 - Outaouais;170097
08 - Abitibi-Témiscamingue;54936
09 - Côte-Nord;51373
10 - Nord-du-Québec;10605
11 - Gaspésie - Îles-de-la-Madeleine;53415
12 - Chaudière-Appalaches;188426
13 - Laval;166124
14 - Lanaudière;195445
15 - Laurentides;237307
16 - Montérégie;536415
17 - Nunavik;9582
18 - Terres-Cries-de-la-Baie-James;18270
Inconnue;4003
Total;3550899
