,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2022,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,26684,35,202,215,0,1,197738.33333,.,.,1500,0,24
02,02 - Saguenay-Lac-Saint-Jean,37130,34,161,533,0,1,278600,.,.,2293,4,27
03,03 - Capitale-Nationale,104391,102,393,1741,2,2,761103.66667,.,.,6073,15,64
04,04 - Mauricie et Centre-du-Québec,70507,54,287,1207,0,6,527666.66667,.,.,4892,13,49
05,05 - Estrie,60520,32,213,727,1,4,502406,.,.,3909,10,38
06,06 - Montréal,342063,227,869,5737,1,3,2061667.3333,.,.,19952,50,161
07,07 - Outaouais,43219,6,132,368,0,6,405378.66667,.,.,2561,6,24
08,08 - Abitibi-Témiscamingue,13091,18,63,133,1,2,147876.33333,.,.,1015,3,14
09,09 - Côte-Nord,11713,14,80,59,0,0,90082.333333,.,.,846,0,13
10,10 - Nord-du-Québec,1746,2,11,6,0,0,13383.666667,.,.,74,1,0
11,11 - Gaspésie-Îles-de-la-Madeleine,11953,11,53,92,0,0,90783.333333,.,.,708,0,10
12,12 - Chaudière-Appalaches,72337,33,221,748,0,1,434525.66667,.,.,3692,9,25
13,13 - Laval,78701,41,196,1194,3,2,445993.33333,.,.,4198,6,39
14,14 - Lanaudière,79655,69,265,874,0,4,530581,.,.,3917,9,28
15,15 - Laurentides,93030,72,372,918,0,7,640046.66667,.,.,5559,15,65
16,16 - Montérégie,174067,141,736,2552,3,6,1452381.3333,.,.,11694,23,129
17,17 - Nunavik,3434,3,3,11,0,0,14619,.,.,143,0,1
18,18 - Terres-Cries-de-la-Baie-James,2807,0,9,19,0,0,18660.333333,.,.,142,0,2
98,Inconnu,1127,4,3,0,0,0,.,.,.,527,0,0
99,Hors Québec,7201,1,2,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1235376,899,4271,17136,11,45,8613493.6667,.,.,73695,164,713

