,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2597,25,2577,20,37,2,2307,253,196934.5,1318.71,128.56,18.79
02,02 - Saguenay-Lac-Saint-Jean,9970,18,9760,210,266,0,9485,219,277505,3592.73,78.95,95.85
03,03 - Capitale-Nationale,29833,195,29484,349,1056,3,26413,2364,757803,3936.78,310.99,139.35
04,04 - Mauricie et Centre-du-Québec,13854,34,13619,235,509,1,12985,360,523331.5,2647.27,68.66,97.26
05,05 - Estrie,12764,41,12270,494,330,1,12047,387,494966.5,2578.76,77.90,66.67
06,06 - Montréal,122656,224,119750,2906,4661,6,114748,3247,2072060.5,5919.52,156.22,224.95
07,07 - Outaouais,10501,111,10057,444,185,0,9304,1012,402744,2607.36,250.21,45.93
08,08 - Abitibi-Témiscamingue,1088,9,1055,33,9,0,1040,39,147637,736.94,26.41,6.10
09,09 - Côte-Nord,431,7,415,16,3,0,391,37,89700.5,480.49,41.40,3.34
10,10 - Nord-du-Québec,90,0,88,2,0,0,90,0,13521.5,665.61,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1811,5,1792,19,45,0,1733,33,89823,2016.19,36.81,50.10
12,12 - Chaudière-Appalaches,15466,140,15189,277,304,0,13758,1404,431109.5,3587.49,325.07,70.52
13,13 - Laval,28920,107,27209,1711,897,2,27333,690,444658.5,6503.87,154.51,201.73
14,14 - Lanaudière,22631,42,21921,710,506,2,21653,472,522367,4332.39,89.97,96.87
15,15 - Laurentides,19196,69,18591,605,495,0,18168,533,630238,3045.83,84.13,78.54
16,16 - Montérégie,46873,102,44960,1913,1527,0,44049,1297,1438226,3259.08,89.84,106.17
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,5,0,5,0,0,0,4,1,.,.,.,.
99,Hors Québec,329,7,324,5,0,0,314,15,.,.,.,.
999,Ensemble du Québec,339180,1136,329229,9951,10833,17,315984,12363,8565469.5,3959.85,143.89,126.47

