RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,16,0,0,0,16,665,337.92,98
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,195,70.30,62.2
03 - Capitale-Nationale,153,2,0,3,158,5417,712.63,97.8
04 - Mauricie et Centre-du-Québec,6,0,0,0,6,469,89.45,85.8
05 - Estrie,35,0,0,0,35,498,100.25,73.2
06 - Montréal,1596,10,5,5,1616,6647,319.80,67.9
07 - Outaouais,174,2,0,5,181,2237,553.09,85.5
08 - Abitibi-Témiscamingue,0,131,0,0,131,219,148.32,53.3
09 - Côte-Nord,0,0,0,0,0,36,40.28,100
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,33,36.81,94.1
12 - Chaudière-Appalaches,68,0,0,0,68,1197,277.14,97.7
13 - Laval,133,3,0,4,140,1550,347.09,73.1
14 - Lanaudière,112,5,0,1,118,761,145.05,70.4
15 - Laurentides,150,6,1,0,157,1108,174.90,71
16 - Montérégie,98,3,2,0,103,1628,112.77,69
Inconnu,0,1,0,0,1,820,,77
Hors Québec,13,0,0,1,14,33,,62.5
Ensemble du Québec,2554,163,8,19,2744,23513,273.67,79.2
