"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;61366
02 - Saguenay - Lac-Saint-Jean;83551
03 - Capitale-Nationale;217385
04 - Mauricie et Centre-du-Québec;145122
05 - Estrie;127557
06 - Montréal;662740
07 - Outaouais;103567
08 - Abitibi-Témiscamingue;35911
09 - Côte-Nord;37437
10 - Nord-du-Québec;9566
11 - Gaspésie - Îles-de-la-Madeleine;39930
12 - Chaudière-Appalaches;119345
13 - Laval;120713
14 - Lanaudière;136353
15 - Laurentides;157269
16 - Montérégie;363968
17 - Nunavik;7112
18 - Terres-Cries-de-la-Baie-James;17266
Inconnue;2251
Total;2448409
