,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20966,34,20927,39,176,0,20533,257,197738.3333,10602.9,130.02,89.01,46,892,2
02,02 - Saguenay-Lac-Saint-Jean,30531,15,30170,361,446,0,29853,232,278600,10958.72,83.27,160.09,47,1625,0
03,03 - Capitale-Nationale,88987,56,88626,361,1565,1,86729,693,761103.6667,11691.84,90.4,205.62,108,4325,5
04,04 - Mauricie et Centre-du-Québec,59114,24,58874,240,1012,1,57744,358,527666.6667,11202.91,67.51,191.79,56,3202,1
05,05 - Estrie,49889,29,49365,524,626,0,48890,373,502406,9930.02,73.43,124.6,63,2781,3
06,06 - Montréal,310350,199,306991,3359,5489,2,303045,1816,2061667.333,15053.35,87.67,266.24,334,16253,18
07,07 - Outaouais,39964,25,39519,445,316,0,39391,257,405378.6667,9858.44,62.72,77.95,41,1875,0
08,08 - Abitibi-Témiscamingue,11099,25,11058,41,113,0,10852,134,147876.3333,7505.6,90.58,76.42,20,653,0
09,09 - Côte-Nord,8800,29,8774,26,46,0,8525,229,90082.33333,9768.84,255.39,51.06,22,519,3
10,10 - Nord-du-Québec,1528,5,1296,232,4,0,1515,9,13383.66667,11416.9,67.65,29.89,8,53,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9174,7,9137,37,82,0,8959,133,90783.33333,10105.38,146.32,90.32,23,447,1
12,12 - Chaudière-Appalaches,61434,27,61151,283,669,0,60463,302,434525.6667,14138.18,69.18,153.96,64,2558,2
13,13 - Laval,71721,42,69761,1960,1119,0,70285,317,445993.3333,16081.18,70.43,250.9,66,3280,4
14,14 - Lanaudière,69982,32,69266,716,777,0,68917,288,530581,13189.69,53.63,146.44,48,2830,3
15,15 - Laurentides,79851,54,79246,605,765,0,78465,621,640046.6667,12475.81,95.73,119.52,117,3782,2
16,16 - Montérégie,149993,114,148079,1914,2247,1,146628,1118,1452381.333,10327.38,76.22,154.71,209,8233,14
17,17 - Nunavik,3020,0,3014,6,10,0,2997,13,14619,20658.05,87.42,68.4,1,111,0
18,18 - Terres-Cries-de-la-Baie-James,2962,1,2567,395,17,0,2928,17,18660.33333,15873.24,89.61,91.1,9,101,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,391,-2
99,Hors Québec,2969,2,2961,8,2,0,2941,26,.,.,.,.,3,0,0
999,Ensemble du Québec,1072334,720,1060782,11552,15481,5,1049660,7193,8613493.667,12449.47,82.9,179.73,1285,53911,56
