,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,3955,0,3929,26,52,0,3890,13,196934.5,2008.28,6.61,26.40,0
02,02 - Saguenay-Lac-Saint-Jean,11015,0,10794,221,270,0,10738,7,277505,3969.30,2.52,97.30,5
03,03 - Capitale-Nationale,32760,5,32408,352,1115,0,31626,19,757803,4323.02,2.50,147.14,0
04,04 - Mauricie et Centre-du-Québec,15184,2,14945,239,526,1,14641,17,523331.5,2901.41,3.24,100.51,0
05,05 - Estrie,14887,1,14369,518,352,1,14519,16,494966.5,3007.68,3.22,71.12,2
06,06 - Montréal,132646,29,129725,2921,4766,2,127509,371,2072060.5,6401.65,17.85,230.01,46
07,07 - Outaouais,12504,6,12057,447,214,0,12223,67,402744,3104.70,16.57,53.14,5
08,08 - Abitibi-Témiscamingue,1146,0,1113,33,9,0,1136,1,147637,776.23,0.68,6.10,0
09,09 - Côte-Nord,574,0,555,19,4,0,570,0,89700.5,639.91,0.00,4.46,0
10,10 - Nord-du-Québec,109,0,107,2,0,0,109,0,13521.5,806.12,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2061,0,2041,20,46,0,2010,5,89823,2294.51,5.58,51.21,0
12,12 - Chaudière-Appalaches,19265,2,18984,281,358,0,18885,22,431109.5,4468.70,5.09,83.04,5
13,13 - Laval,31607,7,29786,1821,913,0,30585,109,444658.5,7108.15,24.41,205.33,14
14,14 - Lanaudière,24034,5,23323,711,516,0,23447,71,522367,4600.98,13.53,98.78,9
15,15 - Laurentides,20982,1,20378,604,509,0,20449,24,630238,3329.22,3.79,80.76,5
16,16 - Montérégie,51361,13,49406,1955,1554,0,49674,133,1438226,3571.14,9.21,108.05,29
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,471,0,466,5,0,0,468,3,.,.,.,.,3
999,Ensemble du Québec,374731,71,364553,10178,11207,4,362646,878,8565469.5,4374.90,10.22,130.84,123

