No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,2,0,2,0,7,0.1 %
2,02 - Saguenay–Lac-Saint-Jean,0,21,0,0,0,5,26,0.4 %
3,03 - Capitale-Nationale,2,159,34,2,58,0,255,4.2 %
4,04 - Mauricie et Centre-du-Québec,4,124,30,12,44,0,214,3.6 %
5,05 - Estrie,1,7,7,0,16,3,34,0.6 %
6,06 - Montréal,186,2441,311,101,427,35,3501,58.3 %
7,07 - Outaouais,4,18,4,7,1,0,34,0.6 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,1,0,0,0,1,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,9,7,0,5,0,21,0.3 %
12,12 - Chaudière-Appalaches,5,2,5,4,23,3,42,0.7 %
13,13 - Laval,2,462,59,41,130,6,700,11.7 %
14,14 - Lanaudière,3,124,44,6,48,0,225,3.7 %
15,15 - Laurentides,60,97,42,27,54,7,287,4.8 %
16,16 - Montérégie,11,278,116,34,206,8,653,10.9 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),281,3742,665,234,1015,68,6005,
9999,Ensemble du Québec (%),4.7 %,62.3 %,11.1 %,3.9 %,16.9 %,1.1 %,           .,100.0 %
