,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,21009,19,20970,39,176,0,20586,247,197738.33333,10624.65,124.96,89.01,25,894,0
02,02 - Saguenay-Lac-Saint-Jean,30575,15,30214,361,447,0,29906,222,278600,10974.52,79.69,160.45,20,1627,0
03,03 - Capitale-Nationale,89149,38,88788,361,1567,0,86895,687,761103.66667,11713.12,89.62,205.89,47,4343,0
04,04 - Mauricie et Centre-du-Québec,59212,48,58972,240,1012,0,57843,357,527666.66667,11221.48,67.32,191.79,28,3205,0
05,05 - Estrie,49919,1,49395,524,626,0,48992,301,502406,9935.99,59.25,124.60,29,2781,0
06,06 - Montréal,310806,105,307447,3359,5491,1,303542,1773,2061667.3333,15075.47,85.59,266.34,161,16269,3
07,07 - Outaouais,40017,16,39572,445,316,0,39450,251,405378.66667,9871.51,61.26,77.95,19,1878,0
08,08 - Abitibi-Témiscamingue,11139,17,11098,41,113,0,10901,125,147876.33333,7532.65,84.49,76.42,8,653,0
09,09 - Côte-Nord,8843,11,8817,26,46,0,8582,215,90082.333333,9816.58,239.77,51.06,8,522,0
10,10 - Nord-du-Québec,1539,4,1306,233,4,0,1523,12,13383.666667,11499.09,90.20,29.89,5,54,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9201,6,9164,37,82,0,8985,134,90783.333333,10135.12,147.42,90.32,6,449,0
12,12 - Chaudière-Appalaches,61496,27,61213,283,669,0,60537,290,434525.66667,14152.44,66.43,153.96,22,2563,0
13,13 - Laval,71820,28,69860,1960,1121,0,70379,320,445993.33333,16103.38,71.09,251.35,34,3280,0
14,14 - Lanaudière,70066,23,69350,716,777,0,69004,285,530581,13205.52,53.07,146.44,26,2833,0
15,15 - Laurentides,80000,38,79395,605,765,0,78641,594,640046.66667,12499.09,91.57,119.52,41,3793,0
16,16 - Montérégie,150264,79,148350,1914,2248,0,146927,1089,1452381.3333,10346.04,74.24,154.78,97,8253,0
17,17 - Nunavik,3025,3,3019,6,10,0,3002,13,14619,20692.25,87.42,68.40,3,111,0
18,18 - Terres-Cries-de-la-Baie-James,2965,0,2570,395,17,0,2933,15,18660.333333,15889.32,79.07,91.10,1,101,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,390,0
99,Hors Québec,2975,2,2967,8,2,0,2951,22,.,.,.,.,1,0,0
999,Ensemble du Québec,1074020,480,1062467,11553,15489,1,1051579,6952,8613493.6667,12469.04,80.12,179.82,581,53999,3

