Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;< 5;33;* 30;9960;9067,6;0;;0;
5-9 ans;< 5;24;* 22,3;15150;14082,5;0;;0;
10-19 ans;7;80;40,2;30931;15549,9;0;;0;
20-29 ans;9;314;96,4;60411;18554,9;0;;5;n.p.
30-39 ans;20;427;130,1;55104;16789,1;0;;12;* 3,7
40-49 ans;19;344;123,9;47616;17153;0;;35;* 12,6
50-59 ans;18;296;115,4;36601;14269,4;0;;151;58,9
60-69 ans;8;230;106,3;21429;9905,5;0;;402;185,8
70-79 ans;9;166;114,9;13117;9077;< 5;n.p.;974;674
80 ans et +;10;161;160,1;20264;20144,9;7;n.p.;3912;3889
Manquant;0;< 5;;223;;0;;0;
Total;105;2079;100,6;310806;15046,4;10;* 0,5;5491;265,8
