Régions sociosanitaires;2021-05-23;2021-05-24;2021-05-25;2021-05-26;2021-05-27;2021-05-28;2021-05-29;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;14;8;6;6;4;5;0;3 897
02 - Saguenay – Lac-Saint-Jean;16;11;11;7;15;16;14;10 889
03 - Capitale-Nationale;18;18;13;36;25;16;19;32 562
04 - Mauricie-et-Centre-du-Québec;14;10;12;18;17;16;0;15 066
05 - Estrie;63;31;25;40;29;24;29;14 683
06 - Montréal;160;114;96;158;131;138;105;131 094
07 - Outaouais;19;16;7;29;28;34;17;12 185
08 - Abitibi-Témiscamingue;0;0;0;1;0;1;0;1 113
09 - Côte-Nord;0;1;0;0;0;0;1;571
10 - Nord-du-Québec;0;0;0;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;2;4;3;4;7;3;2 014
12 - Chaudière-Appalaches;19;32;35;21;33;42;27;18 867
13 - Laval;23;18;22;29;35;26;23;31 200
14 - Lanaudière;13;15;13;12;20;10;11;23 767
15 - Laurentides;16;26;22;15;29;27;21;20 738
16 - Montérégie;57;37;40;58;47;46;46;50 693
17 - Nunavik;0;0;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;0;119
Hors Québec;1;7;2;3;2;2;-1;426
Région à déterminer;0;0;0;0;0;0;0;3
Total;433;346;308;436;419;410;315;370 043
