Régions sociosanitaires;2021-06-06;2021-06-07;2021-06-08;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;4;4;3 935
02 - Saguenay – Lac-Saint-Jean;10;5;5;10 989
03 - Capitale-Nationale;6;6;16;32 675
04 - Mauricie-et-Centre-du-Québec;10;4;6;15 140
05 - Estrie;15;1;2;14 809
06 - Montréal;66;49;61;131 795
07 - Outaouais;16;17;7;12 307
08 - Abitibi-Témiscamingue;9;1;1;1 132
09 - Côte-Nord;0;0;0;572
10 - Nord-du-Québec;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2;5;2 031
12 - Chaudière-Appalaches;11;16;21;19 119
13 - Laval;9;5;10;31 338
14 - Lanaudière;4;10;9;23 855
15 - Laurentides;5;10;11;20 860
16 - Montérégie;26;17;20;51 003
17 - Nunavik;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;119
Hors Québec;0;3;0;449
Région à déterminer;0;0;0;3
Total;193;150;178;372 287
