RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,169,0,0,0,169,1239,629.59,86.7,76.9
02 - Saguenay–Lac-Saint-Jean,82,0,2,0,84,999,360.16,98.1,96.1
03 - Capitale-Nationale,624,3,9,0,636,7961,"1,047.30",98,87.5
04 - Mauricie et Centre-du-Québec,102,0,0,3,105,1341,255.76,75,88.9
05 - Estrie,92,0,15,1,108,2382,479.50,98.5,87.7
06 - Montréal,3226,123,207,20,3576,13994,673.29,91.4,87.6
07 - Outaouais,481,16,33,0,530,3760,929.64,92.9,84.6
08 - Abitibi-Témiscamingue,0,177,0,0,177,247,167.28,100,100
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,174,194.09,100,100
12 - Chaudière-Appalaches,478,2,11,0,491,3391,785.12,98.2,88.9
13 - Laval,417,13,18,1,449,3154,706.27,96.4,90.6
14 - Lanaudière,282,32,11,0,325,1679,320.03,93.3,89.3
15 - Laurentides,447,16,47,0,510,2500,394.63,90.7,83.7
16 - Montérégie,324,17,129,7,477,4295,297.50,90.5,90.5
Inconnu,0,1,0,0,1,718,,.,.
Hors Québec,47,9,3,2,61,100,,.,.
Ensemble du Québec,6789,410,485,34,7718,48100,559.83,93.1,88.4
