No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,2,0,2,0,7,0.1 %
2,02 - Saguenay–Lac-Saint-Jean,0,21,0,0,0,5,26,0.4 %
3,03 - Capitale-Nationale,2,156,26,2,56,0,242,4.1 %
4,04 - Mauricie et Centre-du-Québec,4,124,30,12,44,0,214,3.6 %
5,05 - Estrie,1,7,7,0,16,3,34,0.6 %
6,06 - Montréal,186,2441,307,101,425,35,3495,58.7 %
7,07 - Outaouais,4,18,4,7,1,0,34,0.6 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,1,0,0,0,1,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,6,7,0,5,0,18,0.3 %
12,12 - Chaudière-Appalaches,5,2,3,5,18,2,35,0.6 %
13,13 - Laval,2,459,58,41,129,6,695,11.7 %
14,14 - Lanaudière,3,124,43,5,48,0,223,3.7 %
15,15 - Laurentides,60,96,42,25,54,7,284,4.8 %
16,16 - Montérégie,10,271,110,34,204,8,637,10.7 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),280,3725,643,232,1003,67,5950,
9999,Ensemble du Québec (%),4.7 %,62.6 %,10.8 %,3.9 %,16.9 %,1.1 %,           .,100.0 %
