Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;6322
02 - Saguenay – Lac-Saint-Jean;9569
03 - Capitale-Nationale;29577
04 - Mauricie-et-Centre-du-Québec;14969
05 - Estrie;13001
06 - Montréal;82 859
07 - Outaouais;10554
08 - Abitibi-Témiscamingue;9290
09 - Côte-Nord;16 940
10 - Nord-du-Québec;7301
11 - Gaspésie – Îles-de-la-Madeleine;8442
12 - Chaudière-Appalaches;11696
13 - Laval;11402
14 - Lanaudière;13790
15 - Laurentides;14677
16 - Montérégie;36336
17 - Nunavik;3836
18 - Terres-Cries-de-la-Baie-James;9879
Inconnu;1211
Total;311 651
