,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1525,7,1508,17,30,0,1462,33,196934.5,774.37,16.77,15.23
02,02 - Saguenay-Lac-Saint-Jean,8806,3,8616,190,263,0,8518,25,277505,3173.28,9.01,94.77
03,03 - Capitale-Nationale,22143,34,21806,337,968,2,20857,318,757803,2922.00,41.83,127.74
04,04 - Mauricie et Centre-du-Québec,12655,15,12425,230,494,0,11895,266,523331.5,2418.16,50.73,94.40
05,05 - Estrie,11335,27,10897,438,296,0,10688,351,494966.5,2290.05,70.66,59.80
06,06 - Montréal,102872,353,100017,2855,4467,8,94049,4356,2072060.5,4964.72,209.58,215.58
07,07 - Outaouais,6106,19,5705,401,158,0,5824,124,402744,1516.10,30.66,39.23
08,08 - Abitibi-Témiscamingue,792,2,759,33,7,0,732,53,147637,536.45,35.89,4.74
09,09 - Côte-Nord,351,0,336,15,3,0,345,3,89700.5,391.30,3.36,3.34
10,10 - Nord-du-Québec,87,1,85,2,0,0,87,0,13521.5,643.42,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1703,1,1684,19,45,0,1651,7,89823,1895.95,7.81,50.10
12,12 - Chaudière-Appalaches,11626,14,11362,264,283,0,11100,243,431109.5,2696.76,56.26,65.64
13,13 - Laval,23904,73,22416,1488,859,0,22210,835,444658.5,5375.81,186.98,193.18
14,14 - Lanaudière,19812,74,19100,712,487,1,18640,685,522367,3792.74,130.57,93.23
15,15 - Laurentides,15711,71,15112,599,462,0,14826,423,630238,2492.87,66.77,73.31
16,16 - Montérégie,40852,106,39176,1676,1454,3,38145,1253,1438226,2840.44,86.79,101.10
17,17 - Nunavik,41,0,39,2,0,0,40,1,14336.5,285.98,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,117,0,117,0,2,0,113,2,18507,632.19,10.74,10.81
98,Inconnu,4,0,4,0,0,0,4,0,.,.,.,.
99,Hors Québec,245,0,241,4,0,0,243,2,.,.,.,.
999,Ensemble du Québec,280687,800,271405,9282,10278,14,261429,8980,8565469.5,3276.96,104.52,119.99

