No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,83,6,18,0,123,0.9 %
02,02 - Saguenay-Lac-Saint-Jean,0,104,133,9,116,9,371,2.6 %
03,03 - Capitale-Nationale,5,608,332,39,435,35,1454,10.1 %
04,04 - Mauricie et Centre-du-Québec,5,157,613,22,114,5,916,6.4 %
05,05 - Estrie,3,151,193,26,160,16,549,3.8 %
06,06 - Montréal,215,2813,1310,157,772,79,5346,37.1 %
07,07 - Outaouais,11,93,109,15,62,3,293,2.0 %
08,08 - Abitibi-Témiscamingue,3,24,43,4,12,0,86,0.6 %
09,09 - Côte-Nord,0,0,39,0,1,0,40,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,33,0,13,0,61,0.4 %
12,12 - Chaudière-Appalaches,5,146,240,10,174,6,581,4.0 %
13,13 - Laval,4,531,255,59,201,7,1057,7.3 %
14,14 - Lanaudière,3,307,231,22,160,5,728,5.1 %
15,15 - Laurentides,63,245,230,64,99,13,714,5.0 %
16,16 - Montérégie,16,701,709,69,557,10,2062,14.3 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,13,0,0,1,14,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),336,5908,4582,502,2894,189,14411,
9999,Ensemble du Québec (%),2.3 %,41.0 %,31.8 %,3.5 %,20.1 %,1.3 %,.,100.0 %

