,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,17491,95,17452,39,123,2,16077,1291,197738.33333,8845.53,653.13,62.20,100,575,2
02,02 - Saguenay-Lac-Saint-Jean,26766,84,26404,362,371,0,25239,1156,278600,9607.32,414.94,133.17,97,1274,8
03,03 - Capitale-Nationale,80098,219,79737,361,1454,1,75588,3056,761103.66667,10523.93,398.65,191.04,265,3509,14
04,04 - Mauricie et Centre-du-Québec,52531,170,52291,240,916,0,49602,2013,527666.66667,9955.34,379.61,173.59,142,2619,11
05,05 - Estrie,44468,110,43943,525,549,0,42702,1217,502406,8851.01,239.58,109.27,109,2152,3
06,06 - Montréal,290542,549,287178,3364,5346,0,280165,5031,2061667.3333,14092.57,242.87,259.30,419,14531,20
07,07 - Outaouais,36811,56,36365,446,293,0,35841,677,405378.66667,9080.65,165.23,72.28,60,1527,5
08,08 - Abitibi-Témiscamingue,9268,32,9227,41,86,0,8550,632,147876.33333,6267.40,427.20,58.16,87,500,3
09,09 - Côte-Nord,6955,36,6929,26,40,0,6320,595,90082.333333,7720.71,663.56,44.40,34,372,6
10,10 - Nord-du-Québec,1204,4,995,209,4,0,1186,14,13383.666667,8996.04,105.23,29.89,3,37,0
11,11 - Gaspésie-Îles-de-la-Madeleine,7577,57,7541,36,61,0,6740,776,90783.333333,8346.25,853.72,67.19,91,307,5
12,12 - Chaudière-Appalaches,56476,123,56193,283,581,2,53810,2085,434525.66667,12997.16,477.59,133.71,136,2055,22
13,13 - Laval,67580,90,65617,1963,1057,0,65680,843,445993.33333,15152.69,187.28,237.00,62,2846,9
14,14 - Lanaudière,64919,121,64203,716,728,1,62949,1242,530581,12235.46,231.28,137.21,73,2403,11
15,15 - Laurentides,72604,160,71997,607,714,1,70223,1667,640046.66667,11343.55,256.97,111.55,108,3017,5
16,16 - Montérégie,135649,393,133738,1911,2062,0,130073,3514,1452381.3333,9339.76,239.57,141.97,271,6594,30
17,17 - Nunavik,2836,1,2832,4,10,0,2788,38,14619,19399.41,255.53,68.40,9,87,0
18,18 - Terres-Cries-de-la-Baie-James,2386,27,2011,375,14,0,2170,202,18660.333333,12786.48,1064.78,75.03,11,71,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,352,-1
99,Hors Québec,2759,4,2751,8,2,0,2704,53,.,.,.,.,0,0,0
999,Ensemble du Québec,978924,2331,967407,11517,14411,7,938411,26102,8613493.6667,11365.01,300.81,167.31,2077,44828,153

