Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;6;118;107,4;5521;5026,3;0;;0;
5-9 ans;22;314;291,9;7690;7148,2;0;;0;
10-19 ans;17;305;153,3;16563;8326,7;0;;0;
20-29 ans;12;255;78,3;25704;7894,9;0;;< 5;n.p.
30-39 ans;20;304;92,6;22763;6935,4;0;;7;n.p.
40-49 ans;16;301;108,4;21524;7753,7;0;;24;* 8,6
50-59 ans;7;206;80,3;17291;6741,1;< 5;n.p.;111;43,3
60-69 ans;10;125;57,8;10466;4837,9;< 5;n.p.;336;155,3
70-79 ans;< 5;63;43,6;6788;4697,3;< 5;n.p.;843;583,4
80 ans et +;< 5;60;59,6;12191;12119,4;10;* 9,9;3494;3473,5
Manquant;-1;< 5;;95;;0;;0;
Total;114;2052;99,3;146596;7096,8;16;* 0,8;4818;233,2
