"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;32268
02 - Saguenay - Lac-Saint-Jean;48355
03 - Capitale-Nationale;131402
04 - Mauricie et Centre-du-Québec;92045
05 - Estrie;79155
06 - Montréal;500014
07 - Outaouais;62989
08 - Abitibi-Témiscamingue;24461
09 - Côte-Nord;30405
10 - Nord-du-Québec;9152
11 - Gaspésie - Îles-de-la-Madeleine;27996
12 - Chaudière-Appalaches;69240
13 - Laval;86512
14 - Lanaudière;89265
15 - Laurentides;100547
16 - Montérégie;232650
17 - Nunavik;5794
18 - Terres-Cries-de-la-Baie-James;12160
Inconnue;1900
Total;1636310
