Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;20;276;251,3;3985;3627,9;0;;0;
5-9 ans;22;363;337,4;5444;5060,4;0;;0;
10-19 ans;36;649;326,3;12503;6285,6;0;;0;
20-29 ans;70;768;235,9;19539;6001,3;0;;< 5;n.p.
30-39 ans;37;736;224,2;18010;5487,3;0;;7;n.p.
40-49 ans;39;699;251,8;17501;6304,5;< 5;n.p.;20;* 7,2
50-59 ans;39;570;222,2;14388;5609,4;< 5;n.p.;92;35,9
60-69 ans;19;363;167,8;9059;4187,5;< 5;n.p.;306;141,4
70-79 ans;14;144;99,6;6070;4200,5;7;n.p.;801;554,3
80 ans et +;6;75;74,6;11615;11546,8;13;* 12,9;3405;3385
Manquant;-3;< 5;;84;;0;;0;
Total;299;4646;224,9;118198;5722,1;27;* 1,3;4634;224,3
