RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,403,204.78
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,31,11.18
03 - Capitale-Nationale,51,1,0,0,52,2342,308.10
04 - Mauricie et Centre-du-Québec,3,0,0,0,3,144,27.46
05 - Estrie,23,0,0,0,23,167,33.62
06 - Montréal,981,7,1,5,994,4107,197.60
07 - Outaouais,38,0,0,5,43,897,221.78
08 - Abitibi-Témiscamingue,0,128,0,0,128,193,130.71
09 - Côte-Nord,0,0,0,0,0,8,8.95
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,2,2.23
12 - Chaudière-Appalaches,12,0,0,0,12,636,147.25
13 - Laval,98,3,0,1,102,970,217.21
14 - Lanaudière,58,5,0,0,63,377,71.86
15 - Laurentides,101,6,1,0,108,573,90.45
16 - Montérégie,47,3,0,0,50,709,49.11
Inconnu,0,1,0,0,1,459,
Hors Québec,12,0,0,1,13,18,
Ensemble du Québec,1424,154,2,12,1592,12036,140.09
