,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,15282,51,15243,39,107,0,14439,736,197738.33333,7728.40,372.35,54.11,65
02,02 - Saguenay-Lac-Saint-Jean,24622,58,24263,359,359,1,23686,577,278600,8837.76,207.11,128.86,32
03,03 - Capitale-Nationale,74587,143,74224,363,1403,5,71668,1516,761103.66667,9799.85,197.76,184.34,125
04,04 - Mauricie et Centre-du-Québec,49101,115,48861,240,870,1,47088,1143,527666.66667,9305.31,215.54,164.88,46
05,05 - Estrie,42154,56,41629,525,542,2,41093,519,502406,8390.43,102.17,107.88,36
06,06 - Montréal,282438,177,279077,3361,5330,0,274886,2222,2061667.3333,13699.49,107.27,258.53,168
07,07 - Outaouais,35597,28,35152,445,288,0,34920,389,405378.66667,8781.17,94.94,71.04,32
08,08 - Abitibi-Témiscamingue,7794,49,7755,39,70,0,7435,289,147876.33333,5270.62,195.35,47.34,22
09,09 - Côte-Nord,5779,45,5752,27,35,0,5137,607,90082.333333,6415.24,676.94,38.85,50
10,10 - Nord-du-Québec,1070,7,876,194,4,0,1029,37,13383.666667,7994.82,278.11,29.89,3
11,11 - Gaspésie-Îles-de-la-Madeleine,5673,58,5637,36,57,0,5291,325,90783.333333,6248.94,357.55,62.79,18
12,12 - Chaudière-Appalaches,52815,119,52533,282,548,3,51136,1131,434525.66667,12154.63,259.07,126.11,77
13,13 - Laval,66197,43,64235,1962,1047,0,64712,438,445993.33333,14842.60,97.31,234.76,36
14,14 - Lanaudière,62843,58,62127,716,723,1,61513,607,530581,11844.19,113.03,136.27,73
15,15 - Laurentides,69798,90,69191,607,702,1,68110,986,640046.66667,10905.14,151.99,109.68,61
16,16 - Montérégie,130059,150,128154,1905,2030,1,126426,1603,1452381.3333,8954.88,109.28,139.77,130
17,17 - Nunavik,2725,6,2721,4,10,0,2680,35,14619,18640.13,235.36,68.40,2
18,18 - Terres-Cries-de-la-Baie-James,2284,11,2044,240,14,0,2112,158,18660.333333,12239.87,832.85,75.03,2
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2621,3,2613,8,2,0,2597,22,.,.,.,.,2
999,Ensemble du Québec,933443,1267,922090,11353,14141,15,905962,13340,8613493.6667,10836.98,153.74,164.17,980

