No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,8,6,4,9,0,30,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,92,73,3,85,8,262,2.6 %
3,03 - Capitale-Nationale,3,486,128,20,277,24,938,9.5 %
4,04 - Mauricie et Centre-du-Québec,6,146,188,21,97,5,463,4.7 %
5,05 - Estrie,3,120,46,17,83,10,279,2.8 %
6,06 - Montréal,200,2697,646,123,609,65,4340,43.8 %
7,07 - Outaouais,8,62,32,11,39,1,153,1.5 %
8,08 - Abitibi-Témiscamingue,0,0,4,0,1,0,5,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.5 %
12,12 - Chaudière-Appalaches,5,99,64,6,86,4,264,2.7 %
13,13 - Laval,2,500,115,51,168,6,842,8.5 %
14,14 - Lanaudière,3,248,102,11,102,2,468,4.7 %
15,15 - Laurentides,62,165,82,47,77,13,446,4.5 %
16,16 - Montérégie,16,579,286,57,413,8,1359,13.7 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),312,5217,1793,371,2059,147,9899,
9999,Ensemble du Québec (%),3.2 %,52.7 %,18.1 %,3.7 %,20.8 %,1.5 %,           .,100.0 %
