No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,8,6,4,9,0,30,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,91,73,3,85,8,261,2.7 %
3,03 - Capitale-Nationale,3,476,124,18,271,24,916,9.4 %
4,04 - Mauricie et Centre-du-Québec,6,142,174,21,96,5,444,4.6 %
5,05 - Estrie,3,116,43,17,82,10,271,2.8 %
6,06 - Montréal,200,2684,628,121,602,63,4298,44.2 %
7,07 - Outaouais,8,61,32,11,39,1,152,1.6 %
8,08 - Abitibi-Témiscamingue,0,0,4,0,1,0,5,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.5 %
12,12 - Chaudière-Appalaches,5,97,62,6,84,4,258,2.7 %
13,13 - Laval,2,491,108,50,165,6,822,8.5 %
14,14 - Lanaudière,3,248,99,10,102,2,464,4.8 %
15,15 - Laurentides,62,156,77,43,76,13,427,4.4 %
16,16 - Montérégie,15,569,276,54,397,8,1319,13.6 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),311,5154,1727,358,2022,145,9717,
9999,Ensemble du Québec (%),3.2 %,53.0 %,17.8 %,3.7 %,20.8 %,1.5 %,           .,100.0 %
