"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;25511
02 - Saguenay - Lac-Saint-Jean;36051
03 - Capitale-Nationale;112452
04 - Mauricie et Centre-du-Québec;74258
05 - Estrie;63055
06 - Montréal;456532
07 - Outaouais;47680
08 - Abitibi-Témiscamingue;21976
09 - Côte-Nord;27989
10 - Nord-du-Québec;8957
11 - Gaspésie - Îles-de-la-Madeleine;25187
12 - Chaudière-Appalaches;57881
13 - Laval;72292
14 - Lanaudière;71764
15 - Laurentides;83039
16 - Montérégie;189034
17 - Nunavik;5532
18 - Terres-Cries-de-la-Baie-James;10633
Inconnue;1826
Total;1391649
