RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,234,118.91
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,15,5.41
03 - Capitale-Nationale,44,1,0,0,45,1135,149.31
04 - Mauricie et Centre-du-Québec,4,0,0,0,4,77,14.69
05 - Estrie,12,0,0,0,12,110,22.14
06 - Montréal,731,6,1,5,743,3188,153.38
07 - Outaouais,12,0,0,0,12,494,122.14
08 - Abitibi-Témiscamingue,0,115,0,0,115,186,125.97
09 - Côte-Nord,0,0,0,0,0,0,0.00
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,1,1.12
12 - Chaudière-Appalaches,2,0,0,0,2,311,72.01
13 - Laval,55,0,0,1,56,733,164.14
14 - Lanaudière,23,5,0,0,28,281,53.56
15 - Laurentides,70,4,1,0,75,440,69.45
16 - Montérégie,36,3,0,0,39,580,40.17
Inconnu,0,1,0,0,1,302,
Hors Québec,6,0,0,1,7,13,
Ensemble du Québec,995,135,2,7,1139,8100,94.28
