"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;13290
02 - Saguenay - Lac-Saint-Jean;17921
03 - Capitale-Nationale;51083
04 - Mauricie et Centre-du-Québec;34057
05 - Estrie;26193
06 - Montréal;265514
07 - Outaouais;19875
08 - Abitibi-Témiscamingue;13292
09 - Côte-Nord;18807
10 - Nord-du-Québec;8539
11 - Gaspésie - Îles-de-la-Madeleine;11769
12 - Chaudière-Appalaches;27631
13 - Laval;46010
14 - Lanaudière;37221
15 - Laurentides;39744
16 - Montérégie;96043
17 - Nunavik;5005
18 - Terres-Cries-de-la-Baie-James;10449
Inconnue;1665
Total;744108
