Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2602;8,4;1938,2;359;267,4
Anjou;782;2,5;1827,3;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;70;0,2;362,2;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2509;8,1;1506,7;261;156,7
Côte-Saint-Luc;590;1,9;1818,3;64;197,2
Dollard-des-Ormeaux;498;1,6;1018,4;83;169,7
Dorval;207;0,7;1090,6;50;263,4
Hampstead;72;0,2;1032,6;< 5;n.p.
Kirkland;144;0,5;714,6;23;*114,1
Lachine;725;2,3;1629,6;100;224,8
LaSalle;1348;4,4;1754;183;238,1
L'Île-Bizard–Sainte-Geneviève;228;0,7;1238,3;46;249,8
Mercier–Hochelaga-Maisonneuve;2609;8,4;1918;373;274,2
Montréal Est;49;0,2;1272,7;5;n.p.
Montréal-Nord;2775;9;3294,4;247;293,2
Montréal-Ouest;34;0,1;*673,3;< 5;n.p.
Mont-Royal;303;1;1494,4;77;379,8
Outremont;362;1,2;1511,2;11;*45,9
Pierrefonds–Roxboro;605;2;873,1;39;56,3
Plateau Mont-Royal;1211;3,9;1164,4;140;134,6
Pointe-Claire;247;0,8;787,1;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2358;7,6;2209;242;226,7
Rosemont–La Petite Patrie;1887;6,1;1351,8;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1260;4,1;1274,9;120;121,4
Saint-Léonard;1305;4,2;1666,6;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1118;3,6;1430,6;182;232,9
Verdun;1070;3,5;1545,6;159;229,7
Ville-Marie;1208;3,9;1354,7;87;97,6
Villeray–Saint-Michel–Parc-Extension;2527;8,2;1756,7;131;91,1
Westmount;212;0,7;1043,7;37;182,2
Territoire à confirmer;702;;;44;
Total à Montréal;31670;;1533,2;3476;168,3
