Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;445;1,4;405,1;0;
5-9 ans;412;1,3;383;0;
10-19 ans;1490;4,7;749,1;0;
20-29 ans;4809;15,2;1477,1;< 5;n.p.
30-39 ans;4283;13,6;1304,9;< 5;n.p.
40-49 ans;4307;13,6;1551,5;15;*5,4
50-59 ans;3818;12,1;1488,5;69;26,9
60-69 ans;2599;8,2;1201,4;224;103,5
70-79 ans;2498;7,9;1728,6;594;411
80 ans et +;6922;21,9;6881,3;2567;2551,9
Manquant;87;;;;
Total;31670;;1533,2;3476;168,3
