RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,170,0,0,0,170,,,,
02 - Saguenay–Lac-Saint-Jean,107,0,2,0,109,,,,
03 - Capitale-Nationale,648,3,11,0,662,,,,
04 - Mauricie et Centre-du-Québec,106,0,1,4,111,,,,
05 - Estrie,93,0,16,1,110,,,,
06 - Montréal,3286,131,223,40,3680,,,,
07 - Outaouais,490,16,34,4,544,,,,
08 - Abitibi-Témiscamingue,0,177,0,0,177,,,,
09 - Côte-Nord,10,0,0,0,10,,,,
10 - Nord-du-Québec,0,1,0,0,1,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,,,,
12 - Chaudière-Appalaches,513,2,12,0,527,,,,
13 - Laval,433,13,18,5,469,,,,
14 - Lanaudière,288,33,13,2,336,,,,
15 - Laurentides,468,18,48,2,536,,,,
16 - Montérégie,337,19,133,15,504,,,,
Inconnu,0,1,0,0,1,,,,
Hors Québec,48,9,3,4,64,,,,
Ensemble du Québec,7005,423,514,77,8019,,,,
