Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;316;1,2;285;0;
5-9 ans;287;1,1;265,8;0;
10-19 ans;1002;3,7;503,8;0;
20-29 ans;3141;11,7;975,1;< 5;n.p.
30-39 ans;3402;12,7;1035,5;< 5;n.p.
40-49 ans;3709;13,9;1332,5;15;*5,4
50-59 ans;3371;12,6;1313,4;62;24,2
60-69 ans;2332;8,7;1076,8;203;93,7
70-79 ans;2381;8,9;1645,5;562;388,4
80 ans et +;6791;25,4;6721;2389;2364,4
Manquant;83;;;;
Total;26815;;1298,1;3238;156,8
